85|20010701|0.266617|0.266071
102|20010701|0.009532|0.009528
61|20010701|0.106678|0.106564
103|20010701|0.120801|0.120796
14|20010701|0.001576|0.001576
19|20010701|0.683013|0.68106
29|20010701|0.527232|0.526981
36|20010701|1.031247|1.030609
98|20010701|1.617338|1.617338
3|20010701|1|0.9998
100|20011017|1|1
6|20010701|0.645536|0.645161
85|20010702|0.266617|0.266617
102|20010702|0.009461|0.009463
61|20010702|0.106441|0.106475
103|20010702|0.120801|0.120811
14|20010702|0.001577|0.001577
19|20010702|0.682082|0.6832
29|20010702|0.52843|0.528485
36|20010702|1.033485|1.034126
98|20010702|1.621797|1.62285
3|20010702|1|1.000901
100|20011018|1|1
6|20010702|0.642715|0.642756
85|20010703|0.266631|0.26617
102|20010703|0.009476|0.009469
61|20010703|0.106895|0.106895
103|20010703|0.120801|0.120789
14|20010703|0.001575|0.001575
19|20010703|0.68157|0.678702
29|20010703|0.532028|0.531858
36|20010703|1.040583|1.040042
98|20010703|1.624431|1.622586
3|20010703|1|0.9996
100|20011019|1|1
6|20010703|0.641355|0.641149
85|20010704|0.266724|0.267265
102|20010704|0.009454|0.009462
61|20010704|0.106998|0.107102
103|20010704|0.120798|0.120799
14|20010704|0.001573|0.001573
19|20010704|0.68157|0.68451
29|20010704|0.531604|0.531887
36|20010704|1.039825|1.039825
98|20010704|1.622586|1.62364
3|20010704|1|1
100|20011020|1|1
6|20010704|0.639182|0.639632
85|20010705|0.266617|0.265915
102|20010705|0.009424|0.009418
61|20010705|0.107124|0.107102
103|20010705|0.120796|0.12079
14|20010705|0.001572|0.001572
19|20010705|0.68306|0.681524
29|20010705|0.526926|0.526759
36|20010705|1.030503|1.02976
98|20010705|1.616815|1.616554
3|20010705|1|0.9996
100|20011021|1|1
6|20010705|0.638284|0.638162
85|20010706|0.266617|0.266667
102|20010706|0.009397|0.009398
61|20010706|0.107124|0.107216
103|20010706|0.120796|0.120802
14|20010706|0.001572|0.001572
19|20010706|0.683013|0.686672
29|20010706|0.526122|0.526399
36|20010706|1.029018|1.029336
98|20010706|1.618385|1.619958
3|20010706|1|1.0005
100|20011022|1|1
6|20010706|0.639304|0.63955
