53.9900|F|3|60000.0000|4
53.9900|F|0|80000.0000|5
53.9900|F|1|60000.0000|2
53.9900|M|1|70000.0000|0
159.0000|M|3|120000.0000|2
53.9900|M|0|80000.0000|0
53.9900|F|0|10000.0000|1
53.9900|F|3|100000.0000|2
4.9900|M|3|80000.0000|0
53.9900|M|2|40000.0000|0
53.9900|M|2|50000.0000|2
53.9900|M|1|40000.0000|1
9.9900|F|3|40000.0000|4
9.9900|M|1|50000.0000|1
53.9900|F|2|30000.0000|0
53.9900|M|2|80000.0000|2
49.9900|F|2|70000.0000|5
4.9900|M|0|20000.0000|1
53.9900|M|1|80000.0000|0
9.9900|M|2|30000.0000|2
53.9900|M|2|30000.0000|3
782.9900|F|0|50000.0000|2
782.9900|M|2|40000.0000|2
782.9900|F|1|110000.0000|1
2319.9900|F|0|40000.0000|1
699.0982|M|1|30000.0000|1
2319.9900|M|1|80000.0000|1
782.9900|M|1|30000.0000|1
782.9900|F|4|100000.0000|0
1120.4900|F|4|120000.0000|0
782.9900|M|2|40000.0000|2
9.9900|M|1|80000.0000|3
9.9900|M|1|60000.0000|2
53.9900|F|1|20000.0000|4
1120.4900|F|0|20000.0000|1
53.9900|F|0|30000.0000|3
699.0982|M|1|40000.0000|1
699.0982|F|0|80000.0000|2
2319.9900|F|4|110000.0000|4
4.9900|M|2|70000.0000|0
2319.9900|M|0|50000.0000|0
53.9900|F|2|40000.0000|2
2319.9900|M|3|110000.0000|2
782.9900|F|2|20000.0000|2
782.9900|M|2|40000.0000|2
699.0982|F|2|30000.0000|2
53.9900|F|3|90000.0000|0
9.9900|M|3|150000.0000|1
782.9900|M|1|10000.0000|3
53.9900|M|2|50000.0000|2
2319.9900|F|1|40000.0000|0
4.9900|M|4|160000.0000|1
699.0982|M|0|20000.0000|0
4.9900|F|1|60000.0000|1
4.9900|F|1|60000.0000|2
9.9900|M|2|80000.0000|5
9.9900|M|2|70000.0000|5
2319.9900|M|2|40000.0000|2
53.9900|F|0|60000.0000|2
53.9900|F|2|30000.0000|3
