4114|20011001|6|6|2|80|480
4097|20011001|6|6|2|68|90
4123|20011001|6|6|1|84|124
4222|20011001|7|6|1|60|25480
4102|20011001|6|6|2|72|380
4156|20011001|6|7|1|33|20326
4090|20011001|6|6|1|63|3260
4100|20011001|6|6|1|71|47
4133|20011001|6|6|1|96|8
4201|20011001|7|1|1|84|129
4119|20011001|6|6|1|82|39
4118|20011001|6|6|2|82|30
4143|20011001|6|7|1|14|37489
4082|20011001|6|6|2|57|5900
4092|20011001|6|6|2|65|200
4124|20011001|6|6|1|85|110
4096|20011001|6|6|2|67|100
4262|20011001|7|6|1|84|147
4099|20011001|6|6|1|69|33
4091|20011001|6|6|1|65|328
4083|20011001|6|6|1|60|21424
4132|20011001|6|6|1|94|4761
4086|20011001|6|6|1|61|1928
4112|20011001|6|6|1|78|150
4095|20011001|6|6|1|67|151
4339|20011001|8|1|1|83|219.27
4205|20011001|7|1|1|87|720
4212|20011001|7|1|1|96|8
4269|20011001|7|6|1|91|-176
4115|20011001|6|6|1|80|601
4125|20011001|6|6|2|85|90
4224|20011001|7|6|2|61|2700
4151|20011001|6|7|1|24|17945
4107|20011001|6|6|1|74|138
4306|20011001|8|1|2|60|36400
4135|20011001|6|6|1|99|9000
4085|20011001|6|6|2|61|1500
4094|20011001|6|6|1|66|298
4113|20011001|6|6|2|78|100
4098|20011001|6|6|1|68|114
4171|20011001|7|1|2|62|2100
4160|20011001|6|7|1|38|22895
4101|20011001|6|6|2|71|60
4087|20011001|6|6|1|62|1500
4214|20011001|7|6|1|52|7553
4144|20011001|6|7|1|15|68230
4105|20011001|6|6|2|73|220
4104|20011001|6|6|1|73|216
4116|20011001|6|6|1|81|372
4142|20011001|6|7|1|13|57358
4128|20011001|6|6|1|89|185
4093|20011001|6|6|2|66|200
4089|20011001|6|6|2|63|6100
4088|20011001|6|6|2|62|950
4193|20011001|7|1|1|80|756
4216|20011001|7|6|2|53|1200
4157|20011001|6|7|1|34|24667
4084|20011001|6|6|2|60|17400
4111|20011001|6|6|1|77|463
4122|20011001|6|6|2|84|90
4167|20011001|7|1|2|60|34000
4109|20011001|6|6|2|76|1800
4152|20011001|6|7|1|28|15696
4295|20011001|7|7|1|33|19580
4106|20011001|6|6|2|74|100
4180|20011001|7|1|1|69|58
4164|20011001|6|7|1|46|-32698
4139|20011001|6|7|1|6|374891
4179|20011001|7|1|2|68|200
4280|20011001|7|7|1|8|11690
4203|20011001|7|1|2|85|200
4169|20011001|7|1|1|61|3609
4431|20011001|8|6|2|74|200
4130|20011001|6|6|1|91|-228
4138|20011001|6|7|1|4|183144
4163|20011001|6|7|1|43|1334567
4108|20011001|6|6|1|76|1118
4314|20011001|8|1|2|66|480
4176|20011001|7|1|2|67|200
4175|20011001|7|1|2|66|380
4155|20011001|6|7|1|32|22906
4136|20011001|6|6|1|101|167185
4182|20011001|7|1|2|71|90
4141|20011001|6|7|1|8|7497
4131|20011001|6|6|1|92|380
4420|20011001|8|6|1|67|160.18
4223|20011001|7|6|2|60|26700
4236|20011001|7|6|2|68|200
4297|20011001|7|7|1|35|45005
4197|20011001|7|1|1|82|45
4134|20011001|6|6|1|97|185
4261|20011001|7|6|2|84|100
4191|20011001|7|1|2|78|200
4268|20011001|7|6|1|90|220
4453|20011001|8|6|1|89|128.36
4153|20011001|6|7|1|29|138768
4161|20011001|6|7|1|39|92513
4103|20011001|6|6|1|72|217
4162|20011001|6|7|1|40|22906
4165|20011001|6|7|1|100|14172
4185|20011001|7|1|1|74|237
4341|20011001|8|1|2|84|100
4148|20011001|6|7|1|21|101323
4129|20011001|6|6|1|90|285
4315|20011001|8|1|2|67|200
4154|20011001|6|7|1|31|92513
4140|20011001|6|7|1|7|10588
4283|20011001|7|7|1|15|122747
4181|20011001|7|1|1|71|72
4166|20011001|7|1|1|60|30080
4186|20011001|7|1|2|74|200
4110|20011001|6|6|2|77|380
4145|20011001|6|7|1|18|9604
4170|20011001|7|1|1|62|2406
4278|20011001|7|7|1|6|584512
4324|20011001|8|1|1|74|316.24
4293|20011001|7|7|1|31|40825
4215|20011001|7|6|2|52|8700
4146|20011001|6|7|1|19|30604
4159|20011001|6|7|1|37|44341
4303|20011001|7|7|1|46|303170
4127|20011001|6|6|1|87|468
4158|20011001|6|7|1|35|46900
4307|20011001|8|1|2|61|3300
4126|20011001|6|6|2|87|380
4190|20011001|7|1|2|77|650
4260|20011001|7|6|2|83|200
4149|20011001|6|7|1|22|8239
4220|20011001|7|6|2|57|2700
4292|20011001|7|7|1|29|132096
4211|20011001|7|1|1|94|242
4271|20011001|7|6|1|94|11739
4472|20011001|8|7|1|20|9875.51
4219|20011001|7|6|2|56|56100
4245|20011001|7|6|2|74|200
4177|20011001|7|1|1|67|264
4120|20011001|6|6|1|83|137
4414|20011001|8|6|2|63|10600
4235|20011001|7|6|2|67|200
4189|20011001|7|1|1|77|741
4250|20011001|7|6|1|77|630
4195|20011001|7|1|2|81|550
4217|20011001|7|6|1|53|1258
4198|20011001|7|1|2|82|60
4137|20011001|6|6|2|101|217300
4591|20011101|3|6|1|87|315
4264|20011001|7|6|2|85|100
4242|20011001|7|6|1|72|503
4311|20011001|8|1|2|65|550
4331|20011001|8|1|1|78|275.33
4168|20011001|7|1|2|61|3700
4273|20011001|7|6|1|97|210
4246|20011001|7|6|1|74|215
4384|20011001|8|2|1|82|51.08
4509|20011101|3|1|1|73|229
4183|20011001|7|1|2|73|300
4200|20011001|7|1|1|83|158
4117|20011001|6|6|2|81|280
4282|20011001|7|7|1|14|59620
4187|20011001|7|1|2|76|380
4238|20011001|7|6|1|69|46
4369|20011001|8|2|2|71|50
4225|20011001|7|6|1|61|2802
4147|20011001|6|7|1|20|10180
4344|20011001|8|1|1|87|955.64
4178|20011001|7|1|1|68|200
4213|20011001|7|2|1|12|46160
4364|20011001|8|2|1|67|235.93
4326|20011001|8|1|2|76|380
4172|20011001|7|1|2|65|380
4188|20011001|7|1|1|76|412
4606|20011101|3|7|1|13|38113
4228|20011001|7|6|2|63|19300
4233|20011001|7|6|1|66|420
4463|20011001|8|7|1|4|579652.79
4447|20011001|8|6|2|84|80
4405|20011001|8|6|2|56|166900
4247|20011001|7|6|1|76|1357
4231|20011001|7|6|2|65|380
4210|20011001|7|1|1|92|259
4646|20011101|3|7|2|73|110
4296|20011001|7|7|1|34|44189
4258|20011001|7|6|1|82|48
4309|20011001|8|1|1|62|3119.32
4194|20011001|7|1|2|80|850
4286|20011001|7|7|1|20|10564
4400|20011001|8|6|1|52|12848.29
4202|20011001|7|1|2|84|200
4340|20011001|8|1|1|84|184.42
4302|20011001|7|7|1|43|442895
4243|20011001|7|6|1|73|300
4411|20011001|8|6|1|61|2376.88
4510|20011101|3|1|1|74|112
4221|20011001|7|6|1|57|3147
4272|20011001|7|6|1|96|7
4299|20011001|7|7|1|38|23131
4291|20011001|7|7|1|28|16610
4455|20011001|8|6|1|91|-154.98
4428|20011001|8|6|1|72|857.16
4248|20011001|7|6|2|76|4100
4257|20011001|7|6|2|82|40
4253|20011001|7|6|2|80|650
4335|20011001|8|1|1|81|642
4244|20011001|7|6|2|73|300
4173|20011001|7|1|1|65|584
4651|20011101|3|7|1|76|102
4308|20011001|8|1|1|61|4455.71
4279|20011001|7|7|1|7|18866
4378|20011001|8|2|2|78|100
4367|20011001|8|2|1|69|52.6
4174|20011001|7|1|1|66|531
4301|20011001|7|7|1|40|24240
4350|20011001|8|1|1|94|329.88
4418|20011001|8|6|2|66|200
4518|20011101|3|1|1|80|531
4289|20011001|7|7|1|23|3436
4275|20011001|7|6|1|101|125891
4121|20011001|6|6|2|83|100
4349|20011001|8|1|1|92|369.27
4192|20011001|7|1|1|78|202
4263|20011001|7|6|1|85|133
4461|20011001|8|6|2|101|492500
4329|20011001|8|1|2|77|750
4230|20011001|7|6|1|65|462
4354|20011001|8|2|2|60|17900
4207|20011001|7|1|1|89|126
4237|20011001|7|6|1|68|161
4389|20011001|8|2|2|84|90
4419|20011001|8|6|1|66|290.48
4184|20011001|7|1|1|73|364
4199|20011001|7|1|2|83|200
4709|20011101|4|1|2|82|70
4252|20011001|7|6|2|78|200
4239|20011001|7|6|1|71|56
4546|20011101|3|6|1|57|8706
4494|20011101|3|1|1|61|2046
4409|20011001|8|6|2|60|16000
4256|20011001|7|6|2|81|380
4284|20011001|7|7|1|18|9604
4348|20011001|8|1|1|91|-220.13
4700|20011101|4|1|1|77|1058
4379|20011001|8|2|1|78|217.75
4325|20011001|8|1|2|74|200
4319|20011001|8|1|1|69|67.75
4196|20011001|7|1|1|81|468
4310|20011001|8|1|2|62|2300
4477|20011001|8|7|1|28|17318.07
