1120.4900|98201|60000.0000|2003-10-17
4.9900|V3L 1E7|20000.0000|2004-06-27
1120.4900|2061|40000.0000|2003-11-14
8.9900|2777|40000.0000|2004-04-21
4.9900|Y024 1GF|170000.0000|2004-05-04
2.2900|V7L 4J4|80000.0000|2004-01-10
4.9900|WA1|10000.0000|2004-04-28
4.9900|98371|60000.0000|2003-09-30
2.2900|2500|20000.0000|2003-12-06
21.9800|94941|60000.0000|2004-04-26
769.4900|SL4 1RH|40000.0000|2003-08-17
1000.4375|WA3|20000.0000|2003-04-17
4.9900|V3L 1H4|50000.0000|2003-10-14
53.9900|98033|60000.0000|2004-06-14
8.9900|4171|10000.0000|2004-06-23
34.9900|78400|30000.0000|2004-03-27
8.9900|W1N 9FA|30000.0000|2003-10-09
1000.4375|3337|100000.0000|2002-09-17
1700.9900|RH15 9UD|30000.0000|2004-02-11
8.9900|90241|50000.0000|2003-11-17
539.9900|V7L 4J4|30000.0000|2004-01-25
34.9900|2138|20000.0000|2003-10-20
4.9900|2580|80000.0000|2004-02-04
8.9900|V3A 4R2|40000.0000|2004-03-20
8.9900|3000|80000.0000|2003-08-30
34.9900|3280|90000.0000|2004-03-27
35.0000|2065|60000.0000|2003-11-15
21.4900|V3A 4R2|40000.0000|2004-03-21
1120.4900|91776|130000.0000|2004-06-28
1700.9900|EM15|40000.0000|2004-01-01
28.9900|98027|60000.0000|2004-03-13
2443.3500|98403|70000.0000|2003-02-01
8.9900|V7L 4J4|70000.0000|2003-10-09
69.9900|98027|60000.0000|2004-01-11
69.9900|97005|80000.0000|2003-11-11
49.9900|78400|30000.0000|2003-10-09
8.9900|W1V 5RN|20000.0000|2004-01-01
63.5000|94303|70000.0000|2003-10-09
34.9900|93000|80000.0000|2004-06-22
4.9900|CM11|110000.0000|2003-12-19
1120.4900|97330|50000.0000|2004-03-16
2443.3500|3337|10000.0000|2003-04-07
4.9900|91950|30000.0000|2004-03-25
63.5000|97068|110000.0000|2004-06-26
2384.0700|78400|70000.0000|2003-12-22
4.9900|3337|120000.0000|2003-12-17
34.9900|97005|40000.0000|2003-09-26
34.9900|AS23|40000.0000|2003-09-24
742.3500|97330|70000.0000|2003-07-14
49.9900|98052|60000.0000|2004-03-22
2294.9900|91420|40000.0000|2004-02-23
1700.9900|97005|40000.0000|2004-04-09
2049.0982|V7L 4J4|70000.0000|2003-05-02
1120.4900|91941|60000.0000|2004-02-07
3578.2700|95062|70000.0000|2001-08-12
49.9900|97330|60000.0000|2003-08-08
1120.4900|4655|60000.0000|2004-06-09
1000.4375|CB4 4BZ|20000.0000|2002-09-03
28.9900|91932|70000.0000|2004-04-27
29.9900|V9|50000.0000|2004-07-17
34.9900|LE18|120000.0000|2003-10-17
34.9900|V3L 1E7|20000.0000|2004-06-27
4.9900|V7L 4J4|80000.0000|2004-01-28
34.9900|94015|50000.0000|2004-05-08
2294.9900|Y024 1GF|170000.0000|2004-05-04
34.9900|14197|40000.0000|2004-05-31
24.4900|4171|60000.0000|2004-04-28
34.9900|TY31|20000.0000|2004-07-15
2443.3500|4000|70000.0000|2003-12-06
24.4900|V7L 4J4|40000.0000|2004-04-26
2.2900|V8Y 1L1|70000.0000|2003-08-17
34.9900|SW8 1XD|20000.0000|2004-03-14
35.0000|92806|40000.0000|2003-10-14
2443.3500|92118|20000.0000|2002-07-03
539.9900|98501|30000.0000|2004-06-23
3578.2700|2055|80000.0000|2001-10-08
4.9900|W1N 9FA|30000.0000|2003-10-09
34.9900|V2M1N7|60000.0000|2003-12-07
8.9900|V8V|70000.0000|2004-02-11
1120.4900|90241|50000.0000|2003-11-17
4.9900|V7L 4J4|30000.0000|2004-01-25
34.9900|V9B 2C3|40000.0000|2003-10-20
28.9900|2580|80000.0000|2004-02-04
54.9900|4171|60000.0000|2004-03-20
21.4900|77680|10000.0000|2003-10-24
2443.3500|4551|80000.0000|2003-01-01
4.9900|2065|60000.0000|2003-11-15
34.9900|4217|60000.0000|2004-03-21
34.9900|98312|70000.0000|2004-06-28
53.9900|EM15|40000.0000|2004-01-01
8.9900|91910|110000.0000|2004-04-02
34.9900|95062|40000.0000|2003-07-20
9.9900|V7L 4J4|120000.0000|2003-10-09
24.4900|59140|90000.0000|2004-01-11
24.9900|CB4 4BZ|150000.0000|2003-11-11
769.4900|78400|30000.0000|2003-10-09
8.9900|CM11|80000.0000|2004-01-01
3.9900|85049|10000.0000|2003-10-09
34.9900|78400|10000.0000|2004-05-18
8.9900|CM11|110000.0000|2003-12-19
8.9900|97330|50000.0000|2004-03-16
34.9900|3337|100000.0000|2003-07-17
63.5000|4551|80000.0000|2004-03-25
3.9900|97068|110000.0000|2004-06-26
34.9900|78400|70000.0000|2003-12-22
4.9900|2065|80000.0000|2003-12-17
35.0000|97005|40000.0000|2003-09-26
2443.3500|AS23|40000.0000|2003-09-24
4.9900|3000|80000.0000|2004-01-05
24.4900|98052|60000.0000|2004-03-22
4.9900|V8X|60000.0000|2004-02-23
34.9900|97005|40000.0000|2004-04-09
4.9900|24044|40000.0000|2003-10-12
24.9900|91941|60000.0000|2004-02-07
3578.2700|2450|10000.0000|2002-04-09
4.9900|91910|60000.0000|2003-08-09
2294.9900|V3A 4R2|70000.0000|2004-06-09
782.9900|98011|60000.0000|2003-02-06
32.6000|V8X|50000.0000|2004-04-27
699.0982|98901|50000.0000|2001-07-28
4.9900|91932|60000.0000|2003-10-17
54.9900|98284|80000.0000|2003-09-10
9.9900|V7L 4J4|80000.0000|2004-01-28
4.9900|94015|50000.0000|2004-05-08
34.9900|Y024 1GF|170000.0000|2004-05-04
34.9900|V8V|60000.0000|2004-05-31
29.9900|WA1|10000.0000|2004-04-28
3.9900|TY31|160000.0000|2004-07-15
4.9900|4000|70000.0000|2003-12-06
539.9900|92020|70000.0000|2004-04-26
2443.3500|V8Y 1L1|70000.0000|2003-08-17
539.9900|SW8 1XD|20000.0000|2004-03-14
4.9900|90210|110000.0000|2003-10-14
782.9900|2777|100000.0000|2002-07-26
63.5000|V7L 4J4|30000.0000|2004-06-23
2.2900|91910|40000.0000|2003-10-09
29.9900|W1N 9FA|30000.0000|2003-10-09
24.4900|92118|70000.0000|2003-12-07
539.9900|V8V|70000.0000|2004-02-11
8.9900|98312|90000.0000|2004-01-25
8.9900|V7L 4J4|30000.0000|2004-01-25
4.9900|V3A 4R2|40000.0000|2003-10-20
3578.2700|90241|60000.0000|2001-10-17
49.9900|V3A 4R2|40000.0000|2004-03-20
4.9900|V8Y 1L1|130000.0000|2004-03-05
2.2900|90401|60000.0000|2003-10-09
