10|20061103|holiday|PM1|3|9|12|407|229|266|0|79|0.1
1|20061101|weekday|AM|2|7|9|405|283|341|2|79|0.03
86|20061122|weekday|PM1|3|9|12|380|244|284|1|81|0.08
106|20061127|weekday|PM1|3|10|13|284|284|198|1|85|0.08
35|20061109|weekday|PM2|3|12|15|532|494|366|1|87|0.1
25|20061107|weekday|AM|1|8|9|419|291|308|2|85|0.11
15|20061104|holiday|PM2|4|12|16|623|476|427|2|81|0.05
43|20061111|holiday|PM2|4|14|18|593|408|436|2|61|0.1
110|20061128|weekday|PM1|3|9|12|428|207|277|1|78|0.08
17|20061105|holiday|AM|1|6|7|245|163|147|1|82|0.16
39|20061110|weekday|PM2|4|11|15|452|293|283|2|70|0.09
75|20061119|holiday|PM2|3|10|13|550|367|344|1|91|0.13
34|20061109|weekday|PM1|3|9|12|308|162|217|1|73|0.07
5|20061102|weekday|AM|2|8|10|264|170|189|1|58|0.09
2|20061101|weekday|PM1|2|10|12|389|256|251|1|94|0.12
30|20061108|weekday|PM1|3|9|12|408|252|257|0|87|0.17
60|20061115|weekday|midnight|0|3|3|158|106|116|2|61|0.05
32|20061108|weekday|midnight|1|4|5|196|208|145|1|96|0.1
26|20061107|weekday|PM1|2|10|12|401|266|248|2|95|0.1
20|20061105|holiday|midnight|0|3|3|98|65|64|1|87|0.12
58|20061115|weekday|PM1|2|10|12|499|381|376|1|69|0.06
52|20061113|weekday|midnight|0|4|4|113|74|83|2|74|0.07
14|20061104|holiday|PM1|3|10|13|392|231|283|2|70|0.06
41|20061111|holiday|AM|2|8|10|215|142|152|1|84|0.09
82|20061121|weekday|PM1|2|10|12|511|372|330|1|81|0.13
78|20061120|weekday|PM1|3|10|13|396|305|267|1|69|0.09
28|20061107|weekday|midnight|1|4|5|203|124|136|0|62|0.09
19|20061105|holiday|PM2|3|9|12|400|273|280|2|73|0.09
29|20061108|weekday|AM|2|8|10|373|229|253|0|93|0.14
69|20061118|holiday|AM|2|8|10|430|303|298|1|74|0.05
