2294.9900|March|2004
8.9900|June|2004
8.9900|November|2003
53.9900|August|2003
53.9900|December|2003
53.9900|November|2003
53.9900|October|2003
53.9900|September|2003
53.9900|October|2003
53.9900|May|2004
53.9900|November|2003
53.9900|December|2003
53.9900|November|2003
53.9900|August|2003
53.9900|December|2003
782.9900|November|2002
53.9900|October|2003
4.9900|September|2003
9.9900|July|2003
699.0982|May|2002
49.9900|July|2003
782.9900|December|2002
1120.4900|July|2003
782.9900|August|2002
1120.4900|May|2004
699.0982|April|2002
782.9900|March|2003
782.9900|August|2002
782.9900|November|2002
1120.4900|November|2003
2319.9900|October|2003
9.9900|September|2003
4.9900|September|2003
9.9900|July|2003
9.9900|August|2003
699.0982|March|2002
53.9900|August|2003
4.9900|July|2003
2319.9900|October|2003
159.0000|May|2004
2319.9900|April|2004
782.9900|December|2002
54.9900|June|2004
2319.9900|November|2003
2319.9900|August|2003
9.9900|September|2003
9.9900|July|2003
9.9900|December|2003
9.9900|October|2003
53.9900|July|2003
699.0982|May|2002
4.9900|September|2003
49.9900|November|2003
9.9900|August|2003
2319.9900|May|2004
53.9900|August|2003
9.9900|July|2003
9.9900|September|2003
9.9900|September|2003
4.9900|July|2003
34.9900|March|2004
8.9900|June|2004
8.9900|November|2003
53.9900|September|2003
53.9900|November|2003
53.9900|September|2003
53.9900|July|2003
53.9900|September|2003
53.9900|June|2004
53.9900|April|2004
53.9900|March|2004
53.9900|March|2004
53.9900|November|2003
53.9900|August|2003
53.9900|December|2003
53.9900|September|2003
53.9900|October|2003
49.9900|September|2003
9.9900|July|2003
699.0982|March|2002
9.9900|July|2003
782.9900|December|2002
1120.4900|September|2003
159.0000|December|2003
53.9900|April|2004
2319.9900|September|2003
159.0000|March|2004
159.0000|October|2003
53.9900|December|2003
159.0000|December|2003
2319.9900|December|2003
4.9900|September|2003
4.9900|September|2003
9.9900|July|2003
9.9900|August|2003
2319.9900|August|2003
9.9900|August|2003
9.9900|July|2003
2319.9900|April|2004
159.0000|May|2004
2319.9900|June|2004
782.9900|November|2002
54.9900|June|2004
2319.9900|November|2003
2319.9900|December|2003
4.9900|September|2003
4.9900|July|2003
9.9900|December|2003
4.9900|October|2003
4.9900|July|2003
2319.9900|August|2003
4.9900|September|2003
4.9900|November|2003
4.9900|August|2003
2319.9900|January|2004
53.9900|August|2003
4.9900|July|2003
9.9900|September|2003
53.9900|September|2003
9.9900|October|2003
8.9900|March|2004
34.9900|June|2004
8.9900|November|2003
53.9900|September|2003
53.9900|February|2004
53.9900|September|2003
53.9900|October|2003
53.9900|February|2004
53.9900|June|2004
53.9900|April|2004
53.9900|March|2004
53.9900|April|2004
53.9900|November|2003
53.9900|November|2003
53.9900|December|2003
1120.4900|September|2003
53.9900|August|2003
4.9900|September|2003
9.9900|July|2003
699.0982|March|2002
742.3500|July|2003
782.9900|December|2002
53.9900|September|2003
159.0000|December|2003
1120.4900|April|2004
2319.9900|December|2003
53.9900|March|2004
53.9900|October|2003
53.9900|December|2003
53.9900|December|2003
2319.9900|December|2003
4.9900|September|2003
9.9900|September|2003
9.9900|July|2003
4.9900|August|2003
2319.9900|July|2003
49.9900|August|2003
4.9900|November|2003
2319.9900|June|2004
53.9900|May|2004
2319.9900|June|2004
159.0000|March|2004
54.9900|June|2004
2319.9900|December|2003
2319.9900|May|2004
9.9900|September|2003
4.9900|July|2003
4.9900|December|2003
4.9900|October|2003
49.9900|July|2003
2319.9900|January|2004
4.9900|September|2003
4.9900|November|2003
9.9900|August|2003
4.9900|January|2004
159.0000|July|2003
4.9900|July|2003
4.9900|September|2003
4.9900|September|2003
4.9900|October|2003
2294.9900|March|2004
34.9900|June|2004
120.0000|March|2004
53.9900|September|2003
53.9900|May|2004
53.9900|May|2004
53.9900|November|2003
2181.5625|August|2002
53.9900|June|2004
53.9900|April|2004
54.9900|February|2004
53.9900|April|2004
53.9900|March|2004
53.9900|March|2004
53.9900|August|2003
53.9900|November|2003
2181.5625|July|2002
9.9900|September|2003
4.9900|July|2003
2319.9900|December|2003
4.9900|August|2003
782.9900|December|2002
53.9900|September|2003
159.0000|December|2003
159.0000|June|2004
2319.9900|December|2003
1120.4900|March|2004
53.9900|October|2003
53.9900|September|2003
782.9900|June|2003
2319.9900|December|2003
4.9900|September|2003
9.9900|September|2003
9.9900|July|2003
9.9900|August|2003
2319.9900|July|2003
4.9900|August|2003
53.9900|November|2003
2319.9900|June|2004
1120.4900|April|2004
2319.9900|May|2004
53.9900|March|2004
1700.9900|April|2004
2319.9900|April|2004
2319.9900|June|2004
9.9900|September|2003
4.9900|October|2003
4.9900|December|2003
4.9900|October|2003
53.9900|July|2003
2319.9900|January|2004
4.9900|September|2003
9.9900|November|2003
49.9900|August|2003
4.9900|January|2004
1120.4900|July|2003
9.9900|July|2003
4.9900|September|2003
4.9900|September|2003
53.9900|October|2003
8.9900|March|2004
8.9900|June|2004
2294.9900|March|2004
53.9900|June|2004
53.9900|May|2004
53.9900|May|2004
53.9900|April|2004
2181.5625|August|2002
53.9900|June|2004
53.9900|May|2004
1700.9900|February|2004
53.9900|April|2004
53.9900|April|2004
53.9900|March|2004
53.9900|August|2003
53.9900|July|2003
2181.5625|July|2002
9.9900|September|2003
53.9900|July|2003
2319.9900|December|2003
4.9900|August|2003
53.9900|July|2003
782.9900|March|2003
159.0000|December|2003
53.9900|June|2004
2443.3500|July|2003
539.9900|March|2004
53.9900|October|2003
159.0000|September|2003
53.9900|July|2003
2319.9900|February|2004
4.9900|September|2003
4.9900|September|2003
9.9900|July|2003
9.9900|August|2003
2319.9900|July|2003
4.9900|August|2003
9.9900|November|2003
2319.9900|April|2004
159.0000|April|2004
2319.9900|May|2004
53.9900|June|2004
54.9900|April|2004
2319.9900|April|2004
2319.9900|January|2004
4.9900|September|2003
4.9900|October|2003
9.9900|December|2003
4.9900|October|2003
53.9900|July|2003
4.9900|August|2003
9.9900|September|2003
49.9900|November|2003
4.9900|August|2003
35.0000|January|2004
1120.4900|March|2004
9.9900|July|2003
49.9900|September|2003
4.9900|September|2003
9.9900|October|2003
8.9900|March|2004
34.9900|June|2004
8.9900|March|2004
2181.5625|December|2002
53.9900|May|2004
53.9900|May|2004
53.9900|April|2004
2181.5625|September|2002
2181.5625|July|2002
53.9900|May|2004
54.9900|July|2004
53.9900|April|2004
