10|289|20010701|2001|3|226000.0000
1|272|20010701|2001|3|28000.0000
86|284|20030401|2003|2|418000.0000
106|290|20030701|2003|3|184000.0000
35|284|20020401|2002|2|341000.0000
25|284|20020101|2002|1|266000.0000
15|284|20011001|2001|4|356000.0000
43|282|20020701|2002|3|1355000.0000
110|294|20030701|2003|3|132000.0000
131|281|20040101|2004|1|849000.0000
17|286|20011001|2001|4|469000.0000
39|288|20020401|2002|2|583000.0000
75|287|20030101|2003|1|470000.0000
34|283|20020401|2002|2|952000.0000
5|284|20010701|2001|3|244000.0000
2|281|20010701|2001|3|367000.0000
30|289|20020101|2002|1|280000.0000
60|286|20021001|2002|4|226000.0000
32|281|20020401|2002|2|550000.0000
26|285|20020101|2002|1|780000.0000
20|289|20011001|2001|4|353000.0000
58|284|20021001|2002|4|329000.0000
52|291|20020701|2002|3|1898000.0000
14|283|20011001|2001|4|872000.0000
41|272|20020701|2002|3|70000.0000
82|272|20030401|2003|2|58000.0000
78|290|20030101|2003|1|33000.0000
28|287|20020101|2002|1|473000.0000
150|283|20040401|2004|2|947000.0000
19|288|20011001|2001|4|767000.0000
29|288|20020101|2002|1|583000.0000
69|281|20030101|2003|1|729000.0000
83|281|20030401|2003|2|1194000.0000
21|272|20020101|2002|1|91000.0000
44|283|20020701|2002|3|1600000.0000
140|290|20040101|2004|1|116000.0000
24|283|20020101|2002|1|846000.0000
13|282|20011001|2001|4|781000.0000
23|282|20020101|2002|1|665000.0000
81|293|20030101|2003|1|281000.0000
55|281|20021001|2002|4|1324000.0000
7|286|20010701|2001|3|165000.0000
9|288|20010701|2001|3|525000.0000
8|287|20010701|2001|3|460000.0000
37|286|20020401|2002|2|301000.0000
40|289|20020401|2002|2|267000.0000
3|282|20010701|2001|3|637000.0000
51|290|20020701|2002|3|93000.0000
12|281|20011001|2001|4|556000.0000
113|272|20031001|2003|4|116000.0000
87|285|20030401|2003|2|572000.0000
71|283|20030101|2003|1|839000.0000
48|287|20020701|2002|3|1034000.0000
66|292|20021001|2002|4|409000.0000
6|285|20010701|2001|3|669000.0000
11|272|20011001|2001|4|7000.0000
27|286|20020101|2002|1|264000.0000
4|283|20010701|2001|3|565000.0000
18|287|20011001|2001|4|549000.0000
111|295|20030701|2003|3|728000.0000
85|283|20030401|2003|2|1369000.0000
46|285|20020701|2002|3|734000.0000
56|282|20021001|2002|4|1009000.0000
79|291|20030101|2003|1|938000.0000
136|286|20040101|2004|1|343000.0000
151|284|20040401|2004|2|390000.0000
42|281|20020701|2002|3|1429000.0000
45|284|20020701|2002|3|542000.0000
77|289|20030101|2003|1|151000.0000
76|288|20030101|2003|1|288000.0000
38|287|20020401|2002|2|493000.0000
53|292|20020701|2002|3|593000.0000
61|287|20021001|2002|4|813000.0000
103|287|20030701|2003|3|935000.0000
63|289|20021001|2002|4|341000.0000
65|291|20021001|2002|4|1262000.0000
127|294|20031001|2003|4|40000.0000
16|285|20011001|2001|4|917000.0000
117|284|20031001|2003|4|453000.0000
156|289|20040401|2004|2|403000.0000
64|290|20021001|2002|4|15000.0000
80|292|20030101|2003|1|217000.0000
93|291|20030401|2003|2|1279000.0000
104|288|20030701|2003|3|1051000.0000
31|272|20020401|2002|2|140000.0000
36|285|20020401|2002|2|802000.0000
50|289|20020701|2002|3|483000.0000
116|283|20031001|2003|4|971000.0000
98|282|20030701|2003|3|1525000.0000
105|289|20030701|2003|3|631000.0000
62|288|20021001|2002|4|452000.0000
22|281|20020101|2002|1|502000.0000
59|285|20021001|2002|4|647000.0000
54|272|20021001|2002|4|154000.0000
72|284|20030101|2003|1|239000.0000
128|295|20031001|2003|4|566000.0000
142|292|20040101|2004|1|707000.0000
137|287|20040101|2004|1|614000.0000
91|289|20030401|2003|2|284000.0000
89|287|20030401|2003|2|555000.0000
49|288|20020701|2002|3|496000.0000
70|282|20030101|2003|1|860000.0000
90|288|20030401|2003|2|247000.0000
57|283|20021001|2002|4|1352000.0000
47|286|20020701|2002|3|210000.0000
119|286|20031001|2003|4|450000.0000
162|295|20040401|2004|2|627000.0000
114|281|20031001|2003|4|1218000.0000
147|272|20040401|2004|2|187000.0000
102|286|20030701|2003|3|319000.0000
84|282|20030401|2003|2|1021000.0000
107|291|20030701|2003|3|1506000.0000
96|272|20030701|2003|3|263000.0000
124|291|20031001|2003|4|1419000.0000
121|288|20031001|2003|4|707000.0000
146|296|20040101|2004|1|399000.0000
130|272|20040101|2004|1|84000.0000
33|282|20020401|2002|2|639000.0000
88|286|20030401|2003|2|224000.0000
